Initialised
         12256924 function calls (12247285 primitive calls) in 24.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
      117    0.000    0.000    0.003    0.000 rcsetup.py:90(<listcomp>)
      254    0.000    0.000    0.003    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
       27    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
      430    0.001    0.000    0.003    0.000 copy.py:66(copy)
      271    0.000    0.000    0.003    0.000 numeric.py:433(asarray)
        1    0.000    0.000    0.003    0.003 offsets.py:2(<module>)
      212    0.000    0.000    0.003    0.000 __init__.py:540(dedent)
        1    0.000    0.000    0.003    0.003 __init__.py:57(<module>)
      100    0.000    0.000    0.003    0.000 algorithms.py:196(_get_hashtable_algo)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:735(source_to_code)
    10742    0.002    0.000    0.003    0.000 mathtext.py:2739(<genexpr>)
        1    0.000    0.000    0.003    0.003 datetimes.py:2(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
     1180    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        6    0.000    0.000    0.003    0.000 ops.py:875(add_special_arithmetic_methods)
       68    0.000    0.000    0.003    0.000 ops.py:1486(_arith_method_FRAME)
        1    0.000    0.000    0.003    0.003 panel.py:3(<module>)
     1453    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
    58/10    0.000    0.000    0.003    0.000 pyparsing.py:3354(leaveWhitespace)
 1585/830    0.002    0.000    0.003    0.000 sre_parse.py:173(getwidth)
      635    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.003    0.003 generic.py:102(NDFrame)
   121/59    0.000    0.000    0.003    0.000 pyparsing.py:3429(copy)
        6    0.000    0.000    0.003    0.000 patches.py:1830(_pprint_styles)
      100    0.001    0.000    0.003    0.000 algorithms.py:48(_ensure_data)
        1    0.000    0.000    0.003    0.003 config.py:49(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
      308    0.001    0.000    0.003    0.000 base.py:61(is_dtype)
     1590    0.001    0.000    0.003    0.000 re.py:169(match)
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
        1    0.000    0.000    0.002    0.002 _core.py:3(<module>)
      273    0.002    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
      355    0.001    0.000    0.002    0.000 functools.py:44(update_wrapper)
        1    0.000    0.000    0.002    0.002 packers.py:39(<module>)
     4966    0.002    0.000    0.002    0.000 enum.py:517(__new__)
      204    0.000    0.000    0.002    0.000 common.py:369(is_datetime64tz_dtype)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
     3551    0.002    0.000    0.002    0.000 sre_parse.py:163(__getitem__)
    24936    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     1453    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       39    0.000    0.000    0.002    0.000 inspect.py:3055(signature)
        1    0.000    0.000    0.002    0.002 font_manager.py:883(json_load)
       39    0.000    0.000    0.002    0.000 inspect.py:2803(from_callable)
      840    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       30    0.000    0.000    0.002    0.000 rcsetup.py:446(validate_font_properties)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:113(parse)
       16    0.000    0.000    0.002    0.000 rcsetup.py:740(cycler)
        3    0.000    0.000    0.002    0.001 __init__.py:302(loads)
        3    0.000    0.000    0.002    0.001 decoder.py:334(decode)
      168    0.000    0.000    0.002    0.000 docstring.py:90(dedent)
        1    0.000    0.000    0.002    0.002 rrule.py:7(<module>)
        3    0.001    0.000    0.002    0.001 decoder.py:345(raw_decode)
        1    0.000    0.000    0.002    0.002 series.py:4(<module>)
        1    0.000    0.000    0.002    0.002 series.py:126(Series)
        1    0.000    0.000    0.002    0.002 afm.py:38(<module>)
     5927    0.002    0.000    0.002    0.000 sre_parse.py:232(__next)
        1    0.000    0.000    0.002    0.002 dtypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2043(_setup_pyplot_info_docstrings)
      260    0.001    0.000    0.002    0.000 numeric.py:1927(isscalar)
      685    0.001    0.000    0.002    0.000 abc.py:180(__instancecheck__)
      120    0.001    0.000    0.002    0.000 distance.py:240(_validate_cdist_input)
        1    0.000    0.000    0.002    0.002 frame.py:4(<module>)
      630    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
      517    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
